date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:57	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-5909a33dc6b40-gzip%22	http://pospal.com.au/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-includes/js/jquery/jquery4a5f.js	(from http://pospal.com.au/taptouch/)
12:49:58	10320/10320	---M--	200	added ('OK')	image/png	etag:%222850-5909a33bde6c0%22	http://pospal.com.au/wp-content/uploads/2019/01/2-1.png	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/uploads/2019/01/2-1.png	(from http://pospal.com.au/taptouch/)
12:50:00	124777/124777	---M-Z	200	added ('OK')	application/javascript	etag:%221e769-5a4dd63b3aac0-gzip%22	http://pospal.com.au/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/revslider/public/assets/js/rbtools.minf049.js	(from http://pospal.com.au/taptouch/)
12:50:04	307196/307196	---MCZ	200	added ('OK')	application/javascript	etag:%224affc-5a4dd63b3aac0-gzip%22	http://pospal.com.au/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.2.3	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/revslider/public/assets/js/rs6.min18cf.js	(from http://pospal.com.au/taptouch/)
12:50:05	591483/591483	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202022%2003:18:35%20GMT	https://i.ibb.co/vmv0jfB/retail.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/vmv0jfB/retail.png	(from http://pospal.com.au/taptouch/)
12:50:05	553809/553809	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202022%2003:17:39%20GMT	https://i.ibb.co/0X7JQtF/teastore.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/0X7JQtF/teastore.png	(from http://pospal.com.au/taptouch/)
12:50:05	615696/615696	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202022%2003:18:06%20GMT	https://i.ibb.co/rvrmYqh/butcherstore.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/rvrmYqh/butcherstore.png	(from http://pospal.com.au/taptouch/)
12:50:06	6719/6719	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Apr%202022%2003:44:44%20GMT	https://i.ibb.co/cbnX1Hr/allinone.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/cbnX1Hr/allinone.png	(from http://pospal.com.au/taptouch/)
12:50:06	9353/9353	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Apr%202022%2003:46:04%20GMT	https://i.ibb.co/DbhtMmV/unifiedicon.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/DbhtMmV/unifiedicon.png	(from http://pospal.com.au/taptouch/)
12:50:06	9421/9421	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Apr%202022%2003:46:13%20GMT	https://i.ibb.co/ZLyNjvF/allinoe.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/ZLyNjvF/allinoe.png	(from http://pospal.com.au/taptouch/)
